,Month,t,t_square,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,2003-01-01,97,9409,1,0,0,0,0,0,0,0,0,0,0,0
1,2003-02-01,98,9604,0,1,0,0,0,0,0,0,0,0,0,0
2,2003-03-01,99,9801,0,0,1,0,0,0,0,0,0,0,0,0
3,2003-04-01,100,10000,0,0,0,1,0,0,0,0,0,0,0,0
4,2003-05-01,101,10201,0,0,0,0,1,0,0,0,0,0,0,0
5,2003-06-01,102,10404,0,0,0,0,0,1,0,0,0,0,0,0
6,2003-07-01,103,10609,0,0,0,0,0,0,1,0,0,0,0,0
7,2003-08-01,104,10816,0,0,0,0,0,0,0,1,0,0,0,0
8,2003-09-01,105,11025,0,0,0,0,0,0,0,0,1,0,0,0
9,2003-10-01,106,11236,0,0,0,0,0,0,0,0,0,1,0,0
10,2003-11-01,107,11449,0,0,0,0,0,0,0,0,0,0,1,0
11,2003-12-01,108,11664,0,0,0,0,0,0,0,0,0,0,0,1
12,2004-01-01,109,11881,1,0,0,0,0,0,0,0,0,0,0,0
13,2004-02-01,110,12100,0,1,0,0,0,0,0,0,0,0,0,0
14,2004-03-01,111,12321,0,0,1,0,0,0,0,0,0,0,0,0
15,2004-04-01,112,12544,0,0,0,1,0,0,0,0,0,0,0,0
16,2004-05-01,113,12769,0,0,0,0,1,0,0,0,0,0,0,0
17,2004-06-01,114,12996,0,0,0,0,0,1,0,0,0,0,0,0
18,2004-07-01,115,13225,0,0,0,0,0,0,1,0,0,0,0,0
19,2004-08-01,116,13456,0,0,0,0,0,0,0,1,0,0,0,0
20,2004-09-01,117,13689,0,0,0,0,0,0,0,0,1,0,0,0
21,2004-10-01,118,13924,0,0,0,0,0,0,0,0,0,1,0,0
22,2004-11-01,119,14161,0,0,0,0,0,0,0,0,0,0,1,0
23,2004-12-01,120,14400,0,0,0,0,0,0,0,0,0,0,0,1
24,2005-01-01,121,14641,1,0,0,0,0,0,0,0,0,0,0,0
25,2005-02-01,122,14884,0,1,0,0,0,0,0,0,0,0,0,0
26,2005-03-01,123,15129,0,0,1,0,0,0,0,0,0,0,0,0
27,2005-04-01,124,15376,0,0,0,1,0,0,0,0,0,0,0,0
28,2005-05-01,125,15625,0,0,0,0,1,0,0,0,0,0,0,0
29,2005-06-01,126,15876,0,0,0,0,0,1,0,0,0,0,0,0
30,2005-07-01,127,16129,0,0,0,0,0,0,1,0,0,0,0,0
31,2005-08-01,128,16384,0,0,0,0,0,0,0,1,0,0,0,0
32,2005-09-01,129,16641,0,0,0,0,0,0,0,0,1,0,0,0
33,2005-10-01,130,16900,0,0,0,0,0,0,0,0,0,1,0,0
34,2005-11-01,131,17161,0,0,0,0,0,0,0,0,0,0,1,0
35,2005-12-01,132,17424,0,0,0,0,0,0,0,0,0,0,0,1
36,2006-01-01,133,17689,1,0,0,0,0,0,0,0,0,0,0,0
37,2006-02-01,134,17956,0,1,0,0,0,0,0,0,0,0,0,0
38,2006-03-01,135,18225,0,0,1,0,0,0,0,0,0,0,0,0
39,2006-04-01,136,18496,0,0,0,1,0,0,0,0,0,0,0,0
40,2006-05-01,137,18769,0,0,0,0,1,0,0,0,0,0,0,0
41,2006-06-01,138,19044,0,0,0,0,0,1,0,0,0,0,0,0
42,2006-07-01,139,19321,0,0,0,0,0,0,1,0,0,0,0,0
43,2006-08-01,140,19600,0,0,0,0,0,0,0,1,0,0,0,0
44,2006-09-01,141,19881,0,0,0,0,0,0,0,0,1,0,0,0
45,2006-10-01,142,20164,0,0,0,0,0,0,0,0,0,1,0,0
46,2006-11-01,143,20449,0,0,0,0,0,0,0,0,0,0,1,0
47,2006-12-01,144,20736,0,0,0,0,0,0,0,0,0,0,0,1
48,2007-01-01,145,21025,1,0,0,0,0,0,0,0,0,0,0,0
49,2007-02-01,146,21316,0,1,0,0,0,0,0,0,0,0,0,0
50,2007-03-01,147,21609,0,0,1,0,0,0,0,0,0,0,0,0
51,2007-04-01,148,21904,0,0,0,1,0,0,0,0,0,0,0,0
52,2007-05-01,149,22201,0,0,0,0,1,0,0,0,0,0,0,0
53,2007-06-01,150,22500,0,0,0,0,0,1,0,0,0,0,0,0
54,2007-07-01,151,22801,0,0,0,0,0,0,1,0,0,0,0,0
55,2007-08-01,152,23104,0,0,0,0,0,0,0,1,0,0,0,0
56,2007-09-01,153,23409,0,0,0,0,0,0,0,0,1,0,0,0
57,2007-10-01,154,23716,0,0,0,0,0,0,0,0,0,1,0,0
58,2007-11-01,155,24025,0,0,0,0,0,0,0,0,0,0,1,0
59,2007-12-01,156,24336,0,0,0,0,0,0,0,0,0,0,0,1
